Number of cards,Name,Set
9,Plains (233),[M12]
2,Plummet,[M12]
3,Ponder,[M12]
9,Port Inspector,[MMQ]
1,Pouncing Kavu,[INV]
2,Pride Guardian,[M12]
1,Probe,[INV]
4,Pygmy Pyrosaur,[ULG]
1,Python,[6ED]
1,Rag Man,[6ED]
5,Rampant Growth,[M12]
1,Rats' Feast,[JUD]
2,Razortooth Rats,[6ED]
2,Reassembling Skeleton,[M12]
1,Reclaim,[M12]
1,Reflexes,[USG]
6,Remote Isle,[USG]
3,Rescind,[USG]
2,Rescue,[UDS]
3,Retromancer,[USG]
2,Rishadan Cutpurse,[MMQ]
2,Rites of Flourishing,[M12]
2,Roc Egg,[M12]
1,Rootbound Crag,[M12]
1,Royal Assassin,[M12]
1,Rune-Scarred Demon,[M12]
3,Runeclaw Bear,[M12]
2,Rusted Sentinel,[M12]
4,Sacred Wolf,[M12]
3,Sandbar Merfolk,[USG]
6,Saprazzan Raider,[MMQ]
4,Savage Offensive,[INV]
1,Scavenged Weaponry,[INV]
5,Scent of Brine,[UDS]
2,Scepter of Empires,[M12]
1,Sea Monster,[6ED]
2,Sea Snidd,[PLS]
3,Serra Angel,[M12]
2,Shimmering Wings,[INV]
4,Shock,[M12]
1,Shoreline Raider,[INV]
3,Siege Mastodon,[M12]
1,Silent Assassin,[MMQ]
1,Singe,[PLS]
4,Sizzle,[MMQ]
3,Skywinder Drake,[M12]
3,Slaughter Cry,[M12]
3,Slimy Kavu,[INV]
1,Sluggishness,[ULG]
1,Smallpox,[M12]
4,Sneaky Homunculus,[NMS]
1,Solemn Simulacrum,[M12]
3,Sorin's Thirst,[M12]
2,Specter's Wail,[MMQ]
2,Sphinx of Uthuun,[M12]
2,Spirit Mantle,[M12]
1,Spitting Earth,[6ED]
4,Stampeding Rhino,[M12]
1,Stave Off,[M12]
3,Stingerfling Spider,[M12]
2,Stonehorn Dignitary,[M12]
2,Stormblood Berserker,[M12]
3,Stormfront Pegasus,[M12]
5,Stormscape Apprentice,[INV]
1,Stormwatch Eagle,[PCY]
4,Stun,[INV]
1,Sudden Impact,[TMP]
1,Sutured Ghoul,[M12]
12,Swamp (238),[M12]
11,Swamp (239),[M12]
10,Swamp (240),[M12]
10,Swamp (241),[M12]
1,Swiftfoot Boots,[M12]
1,Talas Scout,[P02]
1,Taste of Blood,[M12]
3,Tectonic Rift,[M12]
1,Thornwind Faeries,[ULG]
2,Thran Golem,[M12]
1,Throne of Empires,[M12]
9,Tidal Bore,[MMQ]
4,Tidal Visionary,[INV]
1,Titanic Growth,[M12]
1,Tolarian Winds,[USG]
2,Tormented Soul,[M12]
4,Tower Drake,[INV]
1,Toxic Stench,[JUD]
1,Tribal Flames,[INV]
3,Trickster Mage,[NMS]
3,Trollhide,[M12]
2,Turf Wound,[INV]
1,Turn to Frog,[M12]
2,Undead Gladiator,[ONS]
2,Unsummon,[M12]
2,Vampire Outcasts,[M12]
1,Vastwood Gorger,[M12]
3,Veil of Birds,[USG]
1,Viashino Grappler,[INV]
2,Viashino Runner,[USG]
5,Vigilant Drake,[ULG]
2,Vodalian Merchant,[INV]
2,Vodalian Serpent,[INV]
3,Volcanic Dragon,[M12]
7,Warpath Ghoul,[M12]
1,Warstorm Surge,[M12]
1,Whipstitched Zombie,[PCY]
1,Wild Jhovall,[MMQ]
1,Wind Drake,[6ED]
4,Worldly Counsel,[INV]
2,Wring Flesh,[M12]
1,Wurm's Tooth,[M12]
2,Zap,[INV]
2,Zombie Goliath,[M12]
1,Zombie Infestation,[M12]
