Number of cards,Name,Set
1,Aether Spellbomb,[MRD]
2,Ancient Den,[MRD]
1,Bonesplitter,[MRD]
3,Chromatic Sphere,[MRD]
1,Island (291),[MRD]
2,Island (292),[MRD]
2,Island (293),[MRD]
2,Island (294),[MRD]
2,Leonin Elder,[MRD]
1,Mountain (301),[MRD]
1,Ornithopter,[MRD]
3,Plains (287),[MRD]
3,Plains (288),[MRD]
3,Plains (289),[MRD]
3,Plains (290),[MRD]
2,Seat of the Synod,[MRD]
1,Sunbeam Spellbomb,[MRD]
1,Viridian Longbow,[MRD]
